category,product_type,schemes,scheme_count,missing_schemes,unusual_schemes,min_fee,max_fee,spread,source_file,valid_from,flags
Аптека / Лекарственные препараты / Средства для щитовидной железы,Средства для щитовидной железы,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Средства от аллергии,Средства от аллергии,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Средства от астмы,Средства от астмы,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Средства от грибка,Средства от грибка,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Средства от гриппа и простуды,Средства от гриппа и простуды,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Аптека / Лекарственные препараты / Средства от сахарного диабета,Средства от сахарного диабета,"DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
"Аптека / Лекарственные препараты / Средства от травм, боли в мышцах и суставах","Средства от травм, боли в мышцах и суставах","DBS=3%, EXPRESS=3%, FBS=3%, FBY=3%",4,,,3.0,3.0,0.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
Авто / Мототехника / Мотоциклы / Трициклы,Трициклы,"DBS=8%, EXPRESS=3%, FBS=8%, FBY=3%",4,,,3.0,8.0,5.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
"Строительство и ремонт / Двери, окна и скобяные изделия / Готовые конструкции",Готовые конструкции,"DBS=3.5%, EXPRESS=13.5%, FBS=20.5%, FBY=13.5%",4,,,3.5,20.5,17.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
"Строительство и ремонт / Двери, окна и скобяные изделия / Готовые конструкции / Дома готовые",Дома готовые,"DBS=3.5%, EXPRESS=13.5%, FBS=20.5%, FBY=13.5%",4,,,3.5,20.5,17.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
"Товары для красоты / Косметика, парфюмерия и уход / Уход за телом / Загар и защита от солнца / Автозагар и средства для солярия",Автозагар и средства для солярия,"DBS=12%, EXPRESS=5%, FBS=12%, FBY=5%",4,,,5.0,12.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
"Товары для красоты / Косметика, парфюмерия и уход / Уход за ногтями / Наращивание ногтей / Акриловая система",Акриловая система,"DBS=12%, EXPRESS=5%, FBS=12%, FBY=5%",4,,,5.0,12.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
"Товары для красоты / Косметика, парфюмерия и уход / Ароматерапия / Аксессуары",Аксессуары,"DBS=12%, EXPRESS=5%, FBS=12%, FBY=5%",4,,,5.0,12.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
"Товары для красоты / Косметика, парфюмерия и уход / Макияж / Аксессуары",Аксессуары,"DBS=12%, EXPRESS=5%, FBS=12%, FBY=5%",4,,,5.0,12.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
"Товары для красоты / Косметика, парфюмерия и уход / Уход за лицом / Аксессуары",Аксессуары,"DBS=12%, EXPRESS=5%, FBS=12%, FBY=5%",4,,,5.0,12.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
"Товары для красоты / Косметика, парфюмерия и уход / Уход за телом / Аксессуары",Аксессуары,"DBS=12%, EXPRESS=5%, FBS=12%, FBY=5%",4,,,5.0,12.0,7.0,20260426_141844_marketplace-services-rates-01-04-2026.xlsx,2026-04-01,LOW_FEE_5_OR_LESS
